   1.367838414508E+001   8.892066079175E-005   1.880000000000E+000   4.099407911301E+000
   2.953593852331E+001   2.881024611218E+000   4.176000000000E+000   9.600996971130E+000
   4.670310099048E+001   4.492888268254E+000   5.764000000000E+000   1.339035105705E+001
   6.394823956574E+001   6.290705613739E+000   1.023200000000E+001   2.347692108154E+001
   8.138106510240E+001   7.990252876071E+000   1.222800000000E+001   2.812148809433E+001
   9.851527208243E+001   9.665335276057E+000   1.463600000000E+001   3.362157106400E+001
   1.156535958150E+002   1.135489453717E+001   1.693200000000E+001   3.886533308029E+001
   1.318608676487E+002   1.316122714077E+001   1.986400000000E+001   4.625471496582E+001
   1.482253850901E+002   1.461229570074E+001   2.299600000000E+001   5.328055596352E+001
   1.631347296057E+002   1.613965234948E+001   2.657600000000E+001   6.129399299622E+001
   1.779312398569E+002   1.764178320314E+001   2.894400000000E+001   6.663955211639E+001
   1.915633249904E+002   1.885228170722E+001   3.238000000000E+001   7.421438407898E+001
   2.043971886418E+002   2.021573861023E+001   3.639200000000E+001   8.295737600327E+001
   2.160600893893E+002   2.125316877070E+001   3.893600000000E+001   8.837055802345E+001
   2.269463776198E+002   2.263514088925E+001   4.236000000000E+001   9.547923493385E+001
   2.372084110953E+002   2.353945867783E+001   4.748000000000E+001   1.059090449810E+002
   2.461243329741E+002   2.432653302821E+001   5.302400000000E+001   1.179883680344E+002
   2.537963572955E+002   2.501042339144E+001   5.628800000000E+001   1.247111630440E+002
   2.604370822694E+002   2.584525451330E+001   5.948800000000E+001   1.313069450855E+002
   2.662595564799E+002   2.635258477188E+001   6.468800000000E+001   1.418091919422E+002
   2.709548096198E+002   2.697021996739E+001   6.844800000000E+001   1.499692780972E+002
   2.747237306482E+002   2.730072864757E+001   7.382800000000E+001   1.627256739140E+002
   2.773924514950E+002   2.753480694269E+001   7.959600000000E+001   1.752299969196E+002
   2.789872605384E+002   2.767476810277E+001   8.304800000000E+001   1.826346399784E+002
   2.795257917582E+002   2.772200327740E+001   8.736800000000E+001   1.923400740623E+002
   2.790200409086E+002   2.768695226212E+001   8.879600000000E+001   1.956574280262E+002
   2.774459541033E+002   2.753951121693E+001   9.448000000000E+001   2.077718479633E+002
   2.748095143297E+002   2.730977439516E+001   9.797200000000E+001   2.149877719879E+002
   2.710617263972E+002   2.697965391436E+001   1.034480000000E+002   2.263694100380E+002
   2.661764270770E+002   2.655149357827E+001   1.080160000000E+002   2.356785650253E+002
   2.605977004787E+002   2.585452058118E+001   1.118040000000E+002   2.431752769947E+002
   2.535847236026E+002   2.523784070727E+001   1.162400000000E+002   2.524225130081E+002
   2.463364460929E+002   2.434876973836E+001   1.190040000000E+002   2.580903489590E+002
   2.374509704572E+002   2.356082887212E+001   1.230600000000E+002   2.663874189854E+002
   2.272240145701E+002   2.265959343113E+001   1.280480000000E+002   2.767438900471E+002
   2.163246507381E+002   2.147038981371E+001   1.308280000000E+002   2.824505119324E+002
   2.047102601996E+002   2.024349195768E+001   1.349440000000E+002   2.910656120777E+002
   1.916418861788E+002   1.908645920945E+001   1.387640000000E+002   2.991175560951E+002
   1.782962984656E+002   1.767521300431E+001   1.408960000000E+002   3.037603659630E+002
   1.631908339018E+002   1.633591857141E+001   1.438400000000E+002   3.100837879181E+002
   1.486202204831E+002   1.464735565741E+001   1.473280000000E+002   3.178524401188E+002
   1.322958352974E+002   1.319973816013E+001   1.502880000000E+002   3.243751981258E+002
   1.160766634181E+002   1.139212933106E+001   1.526360000000E+002   3.296295769215E+002
   9.863213685582E+001   9.857414185009E+000   1.542880000000E+002   3.334849200249E+002
   8.182362667046E+001   8.029415361491E+000   1.562320000000E+002   3.377082629204E+002
   6.439859802453E+001   6.330252582033E+000   1.620960000000E+002   3.512143979073E+002
   4.677841481785E+001   4.641532538655E+000   1.642520000000E+002   3.561640660763E+002
   2.997072123163E+001   2.918581137390E+000   1.661240000000E+002   3.603682839870E+002
   1.387866921086E+001   1.320246475563E+000   1.675440000000E+002   3.636770229340E+002
   3.444168733200E-002   2.296291639943E-003   1.693240000000E+002   3.675654180050E+002
  -2.017828985676E-002   9.253651946935E-003   1.703760000000E+002   3.700199220181E+002
  -8.330127242137E-007   6.783591085840E-008   1.712400000000E+002   3.720599229336E+002
  -8.199438172643E-007   6.677944069876E-008   1.720760000000E+002   3.740730659962E+002
  -8.005144970112E-007   6.520689183236E-008   1.729240000000E+002   3.760819869041E+002
  -7.750331317847E-007   6.314670103982E-008   1.737600000000E+002   3.780964999199E+002
  -7.439045117857E-007   6.062812824883E-008   1.746320000000E+002   3.800971379280E+002
  -7.076244772715E-007   5.769255213753E-008   1.754800000000E+002   3.821070909500E+002
  -6.667639529933E-007   5.438493718236E-008   1.763320000000E+002   3.841461551189E+002
  -6.219784557025E-007   5.075809758062E-008   1.771440000000E+002   3.861707189083E+002
  -5.739721909812E-007   4.688516272784E-008   1.779880000000E+002   3.882148580551E+002
  -5.235130128315E-007   4.285298491783E-008   1.787880000000E+002   3.902688150406E+002
  -4.714026990082E-007   3.868136709253E-008   1.796600000000E+002   3.922845659256E+002
  -4.184648324904E-007   3.445206851838E-008   1.805280000000E+002   3.943135440350E+002
  -3.655465796149E-007   3.027485194893E-008   1.813880000000E+002   3.963283569813E+002
  -3.134892189839E-007   2.621240246345E-008   1.822560000000E+002   3.983512690067E+002
  -2.631259569899E-007   2.231396733629E-008   1.831080000000E+002   4.003856360912E+002
  -7.699435930676E-004   2.212973676068E-003   1.837200000000E+002   4.019466559887E+002
